Time: 2023-05-15 23:12:23 || Emotion: Fear
Time: 2023-05-15 23:12:23 || Emotion: Happy
Time: 2023-05-15 23:12:23 || Emotion: Happy
Time: 2023-05-15 23:12:23 || Emotion: Fear
Time: 2023-05-15 23:12:23 || Emotion: Fear
Time: 2023-05-15 23:12:24 || Emotion: Fear
Time: 2023-05-15 23:12:24 || Emotion: Fear
Time: 2023-05-15 23:12:24 || Emotion: Angry
Time: 2023-05-15 23:12:24 || Emotion: Happy
Time: 2023-05-15 23:12:24 || Emotion: Fear
Time: 2023-05-15 23:12:25 || Emotion: Fear
Time: 2023-05-15 23:12:25 || Emotion: Fear
Time: 2023-05-15 23:12:25 || Emotion: Fear
Time: 2023-05-15 23:12:25 || Emotion: Angry
Time: 2023-05-15 23:12:25 || Emotion: Fear
Time: 2023-05-15 23:12:26 || Emotion: Fear
Time: 2023-05-15 23:12:26 || Emotion: Fear
Time: 2023-05-15 23:12:26 || Emotion: Fear
Time: 2023-05-15 23:12:26 || Emotion: Fear
Time: 2023-05-15 23:12:26 || Emotion: Fear
Time: 2023-05-15 23:12:27 || Emotion: Fear
Time: 2023-05-15 23:12:27 || Emotion: Angry
Time: 2023-05-15 23:12:27 || Emotion: Angry
Time: 2023-05-15 23:12:27 || Emotion: Happy
Time: 2023-05-15 23:12:27 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Fear
Time: 2023-05-15 23:12:28 || Emotion: Neutral
Time: 2023-05-15 23:16:13 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:14 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Angry
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:15 || Emotion: Fear
Time: 2023-05-15 23:16:16 || Emotion: Fear
Time: 2023-05-15 23:16:16 || Emotion: Fear
Time: 2023-05-15 23:16:16 || Emotion: Fear
Time: 2023-05-15 23:16:16 || Emotion: Happy
Time: 2023-05-15 23:16:16 || Emotion: Fear
Time: 2023-05-15 23:16:17 || Emotion: Fear
Time: 2023-05-15 23:16:17 || Emotion: Fear
Time: 2023-05-15 23:16:17 || Emotion: Fear
Time: 2023-05-15 23:16:17 || Emotion: Fear
Time: 2023-05-15 23:16:17 || Emotion: Angry
Time: 2023-05-15 23:16:18 || Emotion: Fear
